fdfdfdfdferteereretty frtrtrtr,Dental health services. Main figures,Dental health services. Main figures
,Per cent,Percentage change
,2017,2016 - 2017
"12-year-olds, per cent without any caries experience",60,1.4
"18-year-olds, per cent without any caries experience",26.6,12.7
SIC-index for 12-year-olds,2.6,0
,Absolute figures,Percentage change
,2017,2016 - 2017
Man-years,,
Settled dentist man-years (public and private),4041.5,0.7
Settled dental hygienist man-years (public and private),991.2,3.5
Dental specialists (public and private),473.4,3.4
Activity,,
Prioritised persons examined/treated,840618,-2.8
"Children and youth 3-18 years old, examined/treated",692472,-2.6
"Elderly, long term ill or disabled in home nursing, examined/treated",35813,-2.3
"Elderly, long term ill or disabled in institution, examined/treated",31423,-1.3
"Paying adult clients, examined/treated",180476,-9.2
,NOK 1000,Percentage change
,2017,2016 - 2017
Expenditures,,
"Gross operating expenditures, dental health care",3477245,1.2
"Gross operating expenditures, treatments of patients",2676088,2.3
"Gross operating expenditures, joint functions",801157,-2.3
,,
Source: Statistics Norway,,
